"#9F81F7",*
"#9F81F7",*
"Viterbo",*
5.6826000213623,-74.7698974609375
5.67269897460938,-74.7665023803709
5.64790010452264,-74.7727966308593
5.63580179214478,-74.782600402832
5.62720108032221,-74.7982025146484
5.60989999771124,-74.8032989501953
5.60300111770636,-74.8102035522459
5.59380006790161,-74.8218002319335
5.59210014343273,-74.8274993896484
5.57999992370605,-74.8343963623046
5.57999992370605,-74.836799621582
5.57540082931524,-74.8448028564453
5.57259988784784,-74.8581008911133
5.56980085372925,-74.8656005859374
5.55770111083984,-74.880500793457
5.54740190505987,-74.8961029052734
5.53649997711193,-74.9157028198242
5.5255007743836,-74.9261016845703
5.50479984283453,-74.9324035644531
5.49320077896124,-74.9375991821288
5.4713010787965,-74.9410018920898
5.4527988433839,-74.9427032470703
5.43550109863287,-74.9432983398438
5.4130010604859,-74.9468002319335
5.39449882507336,-74.950798034668
5.37779998779291,-74.9518966674804
5.36219882965082,-74.9518966674804
5.3449001312257,-74.965202331543
5.33230113983149,-74.9870986938476
5.32369995117188,-75.0066986083984
5.32429885864252,-75.0130004882811
5.32200002670299,-75.0227966308594
5.31580018997204,-75.0418014526367
5.31640005111694,-75.0561981201172
5.32049989700323,-75.0579986572266
5.3245000839234,-75.0671997070311
5.35690021514904,-75.070701599121
5.36269998550421,-75.0695037841796
5.37650108337408,-75.0678024291992
5.38819885253912,-75.0874023437499
5.39569997787476,-75.1057968139648
5.42180109024059,-75.1092987060547
5.4541010856629,-75.10880279541
5.47600078582769,-75.10880279541
5.48929977416987,-75.10880279541
5.48540019989025,-75.1249008178709
5.48830080032349,-75.1346969604492
5.50100088119507,-75.1467971801758
5.50520086288464,-75.1641006469726
5.52770090103155,-75.1716003417969
5.53120088577271,-75.1669998168945
5.53750085830694,-75.1613006591797
5.54560089111339,-75.1589965820311
5.55480003356934,-75.1567001342773
5.56350088119518,-75.1531982421875
5.56799983978271,-75.1468963623047
5.57089900970465,-75.1399993896484
5.57380104064941,-75.1306991577148
5.5806999206543,-75.124397277832
5.59160089492798,-75.124397277832
5.59800100326549,-75.1249999999999
5.6124000549317,-75.1267013549804
5.62109994888306,-75.1227035522459
5.63089990615845,-75.1210021972656
5.64190101623534,-75.1197967529297
5.64820098876959,-75.1157989501953
5.64929914474482,-75.111198425293
5.65390110015875,-75.0944976806639
5.65390110015875,-75.0910034179688
5.659598827362,-75.0794982910156
5.66249990463268,-75.0697021484374
5.66650009155273,-75.0605010986328
5.66990089416504,-75.0477981567383
5.67439985275274,-75.0351028442383
5.68130111694342,-75.0264968872069
5.69110107421881,-75.0201034545898
5.70559883117675,-75.0167007446289
5.70779991149902,-75.0092010498046
5.7112011909486,-74.9959030151367
5.71180009841924,-74.9856033325195
5.71350002288818,-74.9757995605469
5.71460103988647,-74.9654006958008
5.71570014953613,-74.9555969238281
5.71799898147589,-74.9434967041015
5.72360181808477,-74.918098449707
5.72529888153082,-74.9134979248047
5.7265009880067,-74.9083023071288
5.72759914398188,-74.9013977050781
5.73050022125238,-74.8933029174805
5.73220109939581,-74.8858032226561
5.73390102386475,-74.877197265625
5.73089885711681,-74.8725967407227
5.72459983825689,-74.8667984008789
5.72049999237061,-74.8638992309569
5.71420001983637,-74.863296508789
5.70890092849731,-74.8610000610351
5.70030021667475,-74.8587036132811
5.69619894027716,-74.8535003662108
5.69440078735352,-74.8420028686523
5.6908998489381,-74.8350982666014
5.68919992446899,-74.8275985717773
5.68629884719849,-74.8218002319335
5.67929983139032,-74.8068008422852
5.67749881744385,-74.7982025146484
5.67859983444213,-74.7901000976561
5.68030023574829,-74.7779998779297
5.6826000213623,-74.7698974609375
